date,PAEJ.XPAR,BNKE.XPAR,CACC.XPAR,LYMS.XETRA,PSP5.XPAR,PLEM.XPAR,PKRW.XPAR,AWAT.XPAR,PMEH.XPAR,DFOA.XETRA,DFOP.XETRA,INDU.XETRA,MTDA.XETRA,EWLD.XPAR,OBLI.XPAR,PASI.XPAR,PDJE.XPAR,PINR.XPAR
2022-09-13,16.733,87.774,28.194,48.7,33.618,15.462,13.451,24.4,12.015,84.4,141.22,109.02,182.42,24.56,9.148,9.989,29.5,23.415
2022-09-12,16.937,88.836,28.586,50.09,34.265,15.636,13.638,24.726,12.459,86.12,142.16,,184.8,24.999,9.216,10.092,29.995,23.563
2022-09-09,16.846,85.94,28.064,49.905,34.049,15.525,13.531,24.523,12.171,83.23,140.52,109.2,182.44,24.827,9.192,10.078,29.89,23.309
2022-09-08,16.715,83.101,27.649,49.49,33.915,15.424,13.41,24.36,12.008,82.11,139.04,107.34,179.88,24.645,9.192,9.954,29.835,23.53
2022-09-07,16.64,80.658,27.58,48.625,33.414,15.409,13.461,23.945,12.105,83.02,138.92,107.0,179.9,24.293,9.273,9.996,29.505,23.306
2022-09-06,16.75,81.02,27.575,48.67,33.461,15.495,13.539,23.942,12.168,82.17,140.3,107.12,180.4,24.369,9.235,10.0,29.59,23.255
2022-09-05,16.909,80.475,27.51,48.735,33.456,15.632,13.712,23.943,12.074,80.67,140.08,106.82,179.12,24.417,9.24,10.13,29.635,23.337
2022-09-02,16.901,82.111,27.881,49.28,33.756,15.602,13.858,24.034,12.206,84.75,140.7,108.02,180.14,24.566,9.275,10.17,29.86,23.162
2022-09-01,16.921,79.644,27.262,48.395,33.269,15.621,13.921,23.79,11.979,81.8,139.72,105.32,178.08,24.222,9.236,10.23,29.595,23.191
2022-08-31,17.048,80.76,27.661,48.89,33.374,15.708,14.17,24.031,12.367,83.06,141.2,107.86,181.9,24.393,9.239,10.292,29.475,22.91
2022-08-30,17.004,80.711,28.055,49.125,33.577,15.673,13.984,24.278,12.44,84.19,142.62,109.58,,24.606,9.285,10.19,29.74,23.119
2022-08-29,17.183,79.666,28.11,49.82,33.986,15.899,14.035,24.489,12.496,83.65,143.28,109.64,184.66,24.871,9.298,10.442,30.025,22.79
2022-08-26,17.408,79.553,28.337,51.05,34.708,16.065,14.405,24.848,12.555,82.84,144.66,110.9,186.66,25.305,9.367,10.552,30.615,22.939
2022-08-25,17.505,81.034,28.82,52.07,35.199,16.15,14.583,25.275,12.832,84.64,147.16,113.22,190.56,25.677,9.417,10.536,30.93,23.061
2022-08-24,17.283,81.509,28.85,51.83,35.076,15.978,14.36,25.22,12.851,84.48,147.56,113.18,191.06,25.565,9.387,10.246,30.975,23.29
2022-08-23,17.195,81.486,28.725,51.56,34.88,15.882,14.22,25.147,12.903,84.63,146.46,112.46,188.72,25.466,9.42,10.168,30.82,23.081
2022-08-22,17.235,80.989,28.775,51.97,35.264,15.889,14.304,25.602,13.025,83.64,148.26,113.28,190.7,25.656,9.434,10.21,31.255,22.977
2022-08-19,17.166,83.004,29.325,52.56,35.482,15.828,14.433,25.769,13.203,86.87,148.8,116.02,192.54,25.796,9.483,10.044,31.355,23.09
2022-08-18,17.286,85.411,29.623,53.24,35.603,15.949,14.676,25.979,13.556,89.33,148.44,117.92,193.24,25.95,9.582,10.064,31.3,23.297
2022-08-17,17.228,85.708,29.477,52.63,35.331,15.937,14.698,25.85,13.475,88.58,148.16,117.14,192.64,25.761,9.593,10.11,31.155,23.244
2022-08-16,17.324,86.756,29.795,53.36,35.625,16.009,14.897,26.09,13.866,90.57,147.5,119.16,192.84,25.976,9.661,10.132,31.275,23.142
2022-08-15,17.304,86.555,29.698,53.14,35.294,15.989,14.911,25.884,13.998,89.86,148.02,118.9,193.26,25.827,9.794,10.166,30.915,22.985
2022-08-12,17.207,86.918,29.631,52.37,34.884,15.896,14.834,25.694,14.008,90.02,146.6,118.36,191.84,25.552,9.745,10.092,30.525,22.737
2022-08-11,17.113,85.76,29.554,51.73,34.49,15.777,14.746,25.473,13.825,89.59,146.68,118.54,191.96,25.327,9.754,10.12,30.245,22.457
2022-08-10,16.936,85.519,29.485,51.34,34.24,15.612,14.664,25.29,13.899,,146.5,,191.54,25.166,9.806,9.879,30.065,22.576
2022-08-09,16.973,84.718,29.327,50.72,33.98,15.621,14.714,25.091,13.443,88.3,146.32,115.7,190.08,24.947,9.783,10.014,29.965,22.456
2022-08-08,17.083,84.99,29.5,51.76,34.339,15.71,14.809,25.239,13.604,90.06,146.88,117.32,192.16,25.214,9.786,10.114,30.105,22.586
2022-08-05,17.099,84.5,29.235,51.41,34.119,15.68,14.819,24.978,13.371,88.23,145.66,116.36,190.24,25.056,9.78,10.174,29.945,22.49
2022-08-04,17.023,83.557,29.425,51.52,34.163,15.605,14.577,25.285,13.561,88.57,147.52,118.1,192.92,25.069,9.847,10.192,29.895,22.48
2022-08-03,17.025,82.894,29.233,51.75,34.349,15.584,14.708,25.15,13.724,89.0,147.48,117.36,191.74,25.18,9.786,10.128,30.115,22.713
2022-08-02,16.913,81.411,28.93,50.53,33.9,15.469,14.518,25.168,13.585,88.03,147.3,116.32,190.22,24.934,9.858,10.026,29.805,22.685
